variant,canonical,count
kiya,kya,461
kia,kya,372
ameen,zameen,191
rahe,raha,187
hai.,hai,172
bat,baat,157
:d,d,149
"hai,",hai,142
:p,p,122
hain.,hain,92
"hain,",hain,75
boht,bohot,67
dain,dua,65
jahan,jaan,61
kamyab,kamyabi,53
ziyada,zyada,52
tha.,tha,49
mashallah,mashaallah,45
rahay,raha,45
masha,mashaallah,42
jane,jaan,41
bhot,bohot,41
<3,3,39
ziyadah,zyada,39
"tha,",tha,36
ziada,zyada,34
ha.,ha,34
question:,question,33
inshallah,inshaallah,31
hai?,hai,30
nahin,nahi,30
thi.,thi,30
hain?,hain,29
aman,zameen,28
kamiyabi,kamyabi,27
gaya.,gaya,25
shukriya,shukar,24
"ki,",ki,24
"kiya,",kya,24
kamiyab,kamyabi,24
"thi,",thi,23
"the,",the,23
ki.,ki,22
hy.,hy,21
nahi.,nahi,20
rahey,raha,20
pyari,pyar,20
asa,aas,19
suna,sunnah,19
zamana,zameen,19
